order,center,err_center,wavelength
94,4089.2093527119473,0.3625749726669393,378.203988
94,4164.441194853275,0.0008935277837847277,378.271178
94,4216.9229387358355,0.004258432887454986,378.31823
94,4372.708847438351,0.017945229292866332,378.456786
94,4475.617500978812,0.010326224243289338,378.548047
94,4560.362045057839,0.05723775110846797,378.622961
94,4574.571077940958,0.024329685002168536,378.635461
94,4591.739194370697,0.0021447546629000985,378.650675
94,4646.696205044936,0.029390953228579566,378.698939
94,4665.36741567098,0.0021262200707783912,378.71552
94,4699.920657640924,0.015575575467259434,378.745735
94,4756.997619068433,0.023083955472997898,378.795775
94,4784.4522487460545,0.015471739486305317,378.819756
94,4824.828496450095,0.018857490118360985,378.855126
94,4926.117731107483,0.03136727749454982,378.943503
94,5146.05676125664,0.021249997688790448,379.134455
94,5168.333974182859,0.006785238081520335,379.153693
94,5189.8381302719945,0.005470765708892814,379.172321
94,5207.073525078253,0.4446385845369207,379.187136
94,5290.964672958735,0.03051043276995994,379.259419
94,5343.806741497971,0.012398419416625483,379.304932
94,5359.261621894682,0.009122198822780774,379.318036
94,5432.311522475158,0.11161542158592394,379.380678
94,5475.139244344693,0.017890843165577097,379.417398
94,5522.99217104301,0.01782882457270952,379.458183
94,5559.30055784146,0.027495418824457076,379.489286
94,5598.640051140408,0.04545843800995638,379.522839
94,5631.782670412276,0.002039486349484797,379.551063
94,5779.00891202763,0.01832190923999527,379.675912
94,5823.045031078135,0.005794941605411624,379.713012
94,5839.053240219175,0.006572387860919821,379.726622
94,6193.962365425417,0.02211892921928244,380.024546
94,6338.8652267232455,0.037302140240712156,380.145089
94,6365.082621549681,0.01834583988621318,380.16684
94,6468.252202042739,0.28283110349539514,380.252234
94,6483.814555697778,0.15130446326698183,380.265122
94,6640.799207978618,0.07475094499060389,380.394379
94,6702.388957075295,0.00326307550523098,380.445057
94,6759.722256267263,0.05586042259131444,380.491921
94,6795.1349941908475,0.03976316568870803,380.520744
94,6819.950839485921,0.01957557865794532,380.54111
94,6864.918023808624,0.03153880115441627,380.577843
94,7182.706416417224,0.05733280815003617,380.83534
94,7289.251731403882,0.03775775488943236,380.921042
94,7502.305816997945,0.08004250090556858,381.091628
94,7771.919383522674,0.006210161791725964,381.305484
94,7860.351211575941,0.007735009348717486,381.374959
94,7911.061030149361,0.40127650217649924,381.414968
94,8230.888155949318,0.12398934974408156,381.664876
93,1198.686405922239,0.02540944185514758,379.522839
93,1215.3092700346008,0.010230544899259009,379.539531
93,1705.737166322596,0.009625168593821775,380.024546
93,1828.917585780468,0.0227552769748153,380.145089
93,1851.1781362961422,0.0209696033495768,380.16684
93,1926.4162742795145,0.00709722220786108,380.240072
93,1938.9013487555587,0.12175886651014255,380.252234
93,1952.1094931422379,0.07680874645668385,380.265122
93,1987.6920088810107,0.002576324010428968,380.299651
93,2085.26942988634,0.03890283481922098,380.394379
93,2162.3527432546666,0.0074953133886328455,380.468978
93,2186.210532165148,0.02650531542302849,380.491921
93,2201.2154097454486,0.11718658224938966,380.506385
93,2216.0513313466013,0.02831400854869038,380.520744
93,2237.359572596804,0.00643388272616605,380.54111
93,2544.207100722366,0.029520260469108897,380.83534
93,2607.3833855040207,0.1422963805156982,380.895519
93,2634.2296578254463,0.010871114637390525,380.921042
93,2792.906159650358,0.0010350739534697871,381.071194
93,2814.289589018295,0.03677709067700974,381.091628
93,2863.003244404917,0.016093528709718957,381.137655
93,2975.958893208851,0.007276095497231272,381.244038
93,3115.580456043488,0.007442204509113243,381.374959
93,3158.417472592135,0.22244167313531757,381.414968
93,3368.9764974437244,0.017083859923613703,381.610978
93,3427.142150321943,0.07241824262770596,381.664876
93,3560.082161022955,0.005679045992383496,381.787714
93,3595.229864232892,0.011927763635485695,381.820026
93,3766.0908548954026,0.15105421816994635,381.976903
93,3946.1114469752924,0.036248672500309255,382.141185
93,3962.1603329650493,0.012793772626093812,382.155817
93,3997.228988799178,0.2290290412894489,382.187656
