type     name       z        T90
 1       020813A    1.255      87.34  
 1       020405A    0.6908     40.0   
 1       020305A    2.8        39.06  
 1       020127A    1.9         6.99  
 1       020124A    3.198      51.17  
 1       011211A    2.14       51.0   
 1       011121A    0.36       47.0   
 1       010921A    0.4509     22.0   
 1       010222A    1.4768     74.0   
 1       000926A    2.0379      1.30  
 1       000911A    1.0585    500.    
 1       000418A    1.1181      2.0   
 1       000301C    2.0404     87.0   
 1       000210A    0.846       9.0   
 1       000131A    4.5        50.    
 1       991216A    1.02       45.0   
 1       991208A    0.7063     60.    
 1       990712A    0.4331     38.0   
 1       990705A    0.8424     32.0   
 1       990510A    1.619      57.0   
 1       990506A    1.3065    129.0   
 1       990123A    1.6004     61.0   
 1       981226A    1.11       17.0   
 1       980703A    0.966      76.0   
 1       980613A    1.0969     42.0   
 1       980425A    0.0085     22.0   
 1       980329A    3.5        19.0   
 1       971214A    3.42        6.0   
 1       970828A    0.9578    146.59  
 1       970508A    0.835      14.0   
 1       970228A    0.695      56.0   
-1       130603B    0.356       0.18  
-1       101219A    0.718       0.6   
-1       100816A    0.8048      2.9   
-1       100625A    0.452       0.33  
-1       100206A    0.4068      0.12  
-1       100117A    0.92        0.3   
-1       090510A    0.903       5.66  
-1       090426A    2.609       1.24  
-1       080905A    0.1218      1.02  
-1       080123A    0.495       0.04  
-1       071227A    0.383       1.8   
-1       070809A    0.2187      1.28  
-1       070724A    0.457       0.43  
-1       070714B    0.923       3.    
-1       070429B    0.904       0.49  
-1       061217A    0.827       0.24  
-1       061210A    0.41        0.13  
-1       061201A    0.111       0.78  
-1       061006A    0.4377      0.5   
-1       060801A    1.131       0.50  
-1       060502B    0.287       0.14  
-1       051221A    0.5465      1.40  
-1       050724A    0.258       2.76  
-1       050709A    0.16        0.22  
-1       050509B    0.226       0.02  
